A,1,0,[[1 1 0 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0]]
A,2,3,[[0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0]]
A,3,2,[[1 1 0 0 1 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0 0 0]]
A,4,3,[[0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1]]
B,1,4,[[0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0]]
B,2,3,[[1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0]]
B,3,3,[[1 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0]]
B,4,3,[[1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0]]
C,1,3,[[1 0 0 1 1 0 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0]]
C,2,4,[[1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0]]
C,3,3,[[1 0 0 0 1 0 0 0 1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 0 0 0]]
C,4,4,[[1 0 0 1 1 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0]]
D,1,4,[[1 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0]]
D,2,4,[[1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0]]
D,3,3,[[1 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 1 1 1 1 0 0 0 0 0]]
D,4,4,[[0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0]]
E,1,2,[[0 0 0 1 1 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 1 0 0 0]]
E,2,3,[[1 0 0 0 1 1 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0]]
E,3,4,[[1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 0]]
E,4,4,[[1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0]]
F,1,4,[[1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1 0 0 0 0]]
F,2,3,[[0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0]]
F,3,3,[[0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 1 0 1 1 1 0 1 1 0 0 0]]
F,4,2,[[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]]
